,CR Coil,HR Coil,Semis,Plate,Structurals,Wire Rod,TMT Bar
Day_1,2065.4369266807053,1947.9627812042056,1867.4591536164528,1972.6623002340166,1949.2393321224852,1819.678749349167,2154.249651447795
Day_2,2421.1950601366298,1815.1659770014319,1655.0134688159746,2447.9503981013668,1853.9265014228606,1731.9875582938655,1634.3090941124365
Day_3,1728.0474702128643,1847.1985357714839,1881.3020737397396,1554.5207068245627,1889.4707292284795,1619.6637134677253,2022.4851333058396
Day_4,1513.4997459758974,1840.7993607683002,1670.9623002509634,1959.1856365466529,1858.5685582665537,1625.6243111733038,1927.4772302027684
Day_5,2248.034345699366,1842.740089732112,1893.1214020381544,2271.304057484175,1873.9155912448873,1738.9903624520214,1700.4188994502497
Day_6,2313.4096351419803,1842.5505410536814,1684.9825968283315,1713.023550788735,1863.0683582516936,1813.1936610270993,2138.9077505864157
Day_7,1567.7762906464602,1842.7274019866456,1903.1881904867773,1954.839931574978,1869.1541820160742,1755.3818815403713,1685.9570052679815
